material,Z_material,A_material,Z,A,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,parameter_9,parameter_10,parameter_11,parameter_12
Mylar,4.55,8.7351,23.,51.,0.6638,0.6923,0.1095,0.02038,-0.002993,-5.051e-05,-1.064,1.722,-0.2646,0.02112,0.0006165,-0.0001174
Mylar,4.55,8.7351,24.,52.,0.651,0.6849,0.1055,0.02056,-0.002718,-8.532e-05,-1.048,1.723,-0.2572,0.01783,0.001151,-0.0001474
Mylar,4.55,8.7351,25.,55.,0.6763,0.678,0.1017,0.02072,-0.002454,-0.0001182,-1.097,1.742,-0.2512,0.01421,0.001734,-0.0001785
Mylar,4.55,8.7351,26.,56.,0.6652,0.6713,0.0981,0.02086,-0.002209,-0.0001485,-1.083,1.743,-0.2438,0.01085,0.002289,-0.0002101
Mylar,4.55,8.7351,27.,59.,0.6896,0.6651,0.09463,0.02099,-0.001978,-0.0001769,-1.131,1.76,-0.2369,0.006984,0.002908,-0.0002432
Mylar,4.55,8.7351,28.,58.,0.6462,0.6589,0.09137,0.02111,-0.001761,-0.0002032,-1.06,1.746,-0.2294,0.004067,0.003433,-0.0002763
Mylar,4.55,8.7351,29.,63.,0.7047,0.6523,0.08841,0.02124,-0.00157,-0.0002265,-1.17,1.781,-0.2239,-0.0001408,0.004098,-0.0003101
Mylar,4.55,8.7351,30.,64.,0.696,0.6469,0.08542,0.02133,-0.001377,-0.0002495,-1.16,1.782,-0.2162,-0.0037,0.004701,-0.0003452
Mylar,4.55,8.7351,31.,69.,0.7475,0.6419,0.0825,0.02142,-0.001192,-0.0002712,-1.256,1.806,-0.2066,-0.008706,0.005445,-0.000382
Mylar,4.55,8.7351,32.,74.,0.7946,0.6372,0.07971,0.02151,-0.00102,-0.0002914,-1.346,1.826,-0.1958,-0.0139,0.006203,-0.0004194
Mylar,4.55,8.7351,33.,75.,0.7862,0.6324,0.0771,0.02158,-0.0008593,-0.00031,-1.335,1.825,-0.1872,-0.01773,0.006849,-0.000457
Mylar,4.55,8.7351,34.,80.,0.8295,0.628,0.07456,0.02166,-0.0007069,-0.0003274,-1.418,1.842,-0.175,-0.02319,0.007635,-0.0004956
Mylar,4.55,8.7351,35.,79.,0.7988,0.622,0.07246,0.0218,-0.0005995,-0.0003401,-1.37,1.838,-0.1696,-0.02631,0.008269,-0.0005374
